word,severity
swimsuit,2
bikini,2
beachwear,2
lingerie,6
underwear,3
panties,5
bra,5
cleavage,4
hot,1
sexy,4
seductive,5
tease,2
flirt,2
kiss,2
makeout,4
foreplay,8
sensual,7
erotic,7
romance,2
intimate,4
cuddle,2
naked,5
nude,5
strip,5
pole dance,8
lapdance,7
breast,5
breasts,5
boobs,8
tits,8
nipple,6
nipples,6
ass,7
butt,5
booty,6
buttocks,5
pussy,9
cunt,10
vagina,7
vulva,7
clitoris,8
clit,9
penis,7
dick,9
cock,9
shaft,5
balls,5
testicles,6
scrotum,6
anus,8
asshole,9
butt hole,8
hole,7
sex,7
intercourse,7
fuck,10
fucking,10
blowjob,9
bj,8
handjob,8
hj,7
oral,5
anal,9
fingering,8
masturbation,8
masturbate,8
jerk off,9
wank,8
cum,9
orgasm,7
climax,5
squirt,9
bukkake,10
gangbang,10
threesome,8
orgy,9
bdsm,8
fetish,7
kink,6
doggy style,8
reverse cowgirl,8
porn,10
porno,10
pornography,10
xxx,9
adult,5
hardcore,5
softcore,8
hentai,9
onlyfans,8
nsfw,8
smut,9
erotica,7
x-rated,9
adult video,9
jav,9
gonzo,9
money shot,10
cumshot,10
deepthroat,9
gape,10
milf,8
striptease,7
escort,8
hooker,9
prostitute,8
smash,6
hookup,6
bang,8
boner,8
get laid,8
get some,7
booty call,8
one night stand,7
dildo,9
vibrator,8
sex toy,8
butt plug,9
fleshlight,9
condom,7
bareback,9
erect,7
erection,7
horny,7
aroused,6
slut,9
whore,9
bitch,8
sugar daddy,8
