word,severity
swimsuit,2
bikini,2
beachwear,2
lingerie,6
underwear,3
panties,4
bra,3
cleavage,4
hot,3
sexy,4
seductive,4
tease,4
flirt,3
kiss,3
makeout,4
foreplay,5
sensual,4
erotic,6
romance,3
intimate,4
cuddle,2
naked,5
nude,5
strip,5
pole dance,5
lapdance,6
breast,5
breasts,5
boobs,6
tits,8
nipple,6
nipples,6
ass,7
butt,5
booty,6
buttocks,5
pussy,9
cunt,10
vagina,7
vulva,7
clitoris,8
clit,9
penis,7
dick,9
cock,9
shaft,8
balls,7
testicles,6
scrotum,6
anus,8
asshole,9
butt hole,8
hole,7
sex,7
intercourse,7
fuck,10
fucking,10
blowjob,9
bj,8
handjob,8
hj,7
oral,7
anal,9
fingering,8
masturbation,8
masturbate,8
jerk off,9
wank,8
cum,9
orgasm,7
climax,6
squirt,9
creampie,10
facial,9
bukkake,10
gangbang,10
threesome,8
orgy,9
bondage,8
bdsm,8
domination,7
submission,7
fetish,7
kink,6
roleplay,6
doggy style,8
missionary,6
cowgirl,7
reverse cowgirl,8
69,8
porn,10
porno,10
pornography,10
xxx,9
adult,7
hardcore,10
softcore,8
hentai,9
onlyfans,8
nsfw,8
smut,9
erotica,7
x-rated,9
adult video,9
jav,9
gonzo,9
money shot,10
cumshot,10
deepthroat,9
gape,10
milf,8
cougar,7
teen,8
amateur,7
webcam,7
striptease,7
escort,8
hooker,9
prostitute,8
smash,6
hookup,6
bang,8
bone,8
screw,8
nail,8
pound,8
ride,7
get laid,8
get some,7
booty call,8
one night stand,7
netflix and chill,6
dildo,9
vibrator,8
sex toy,8
butt plug,9
fleshlight,9
condom,6
bareback,9
raw,8
moist,5
wet,6
hard,6
erect,7
erection,7
horny,7
aroused,6
slut,9
whore,9
bitch,8
daddy,7
mommy,7
sugar daddy,8
